id,Name,Location,Pincode,Category,Total beds ICU,Total beds normal,Total beds ventilation,Available beds ICU,Available beds normal,Available beds ventilation
583,Colorado River Medical Center,"Needles, CA",,Private,391,176,31,251,104,5
584,Northern Inyo Hospital,"Bishop, CA",,Government,157,196,47,44,15,42
585,Mendocino Coast District Hospital,"Fort Bragg, CA",,Government,494,193,12,142,180,6
586,Plumas District Hospital,"Quincy, CA",,Government,233,693,43,34,306,4
587,Seneca District Hospital,"Chester, CA",,Unknown,480,353,69,95,252,42
588,Tahoe Forest Hospital,"Truckee, CA",,Government,448,257,63,189,235,32
589,Sutter Lakeside Hospital,"Lakeport, CA",,Private,441,173,57,328,26,56
590,Modoc Medical Center,"Alturas, CA",,Government,36,207,26,12,140,23
591,Santa Ynez Valley Cottage Hospital,"Solvang, CA",,Private,291,173,11,132,158,9
592,Mark Twain Medical Center,"San Andreas, CA",,Unknown,416,224,60,252,49,6
593,Ridgecrest Regional Hospital,"Ridgecrest, CA",,Private,160,354,40,105,94,35
594,Ojai Valley Community Hospital,"Ojai, CA",,Private,279,690,65,82,208,61
595,Bear Valley Community Hospital,"Big Bear Lake, CA",,Government,402,320,13,58,136,0
596,Valley Children's Hospital,"Madera, CA",,Private,41,49,22,25,32,20
597,Children's Hospital & Research Center Oakland,"Oakland, CA",,Private,337,137,17,302,79,8
598,Children's Hosp Of Los Angeles,"Los Angeles, CA",,Private,444,197,77,417,92,14
599,Rady Children's Hospital - San Diego,"San Diego, CA",,Unknown,67,185,70,29,25,62
600,Children's Hospital Of Orange County,"Orange, CA",,Unknown,176,466,39,92,192,2
601,Lucile Salter Packard Children's Hsp At Stanford,"Palo Alto, CA",,Private,106,594,9,14,558,8
602,Children's Hospital At Mission,"Mission Viejo, CA",,Private,483,312,58,158,300,34
603,Healthbridge Children's Hospital - Orange,"Orange, CA",,Proprietary,48,616,73,8,240,1
604,Miller Children's Hospital,"Long Beach, CA",,Unknown,67,473,18,64,271,1
605,Shriners Hospitals For Children,"Los Angeles, CA",,Private,257,249,75,141,136,25
606,Shriners Hospitals For Children Northern Calif,"Sacramento, CA",,Private,114,79,64,32,39,34
607,North Colorado Medical Center,"Greeley, CO",,Private,225,598,71,191,264,3
608,Longmont United Hospital,"Longmont, CO",,Private,67,197,50,25,186,46
609,Platte Valley Medical Center,"Brighton, CO",,Private,429,583,9,282,508,6
610,Montrose Memorial Hospital,"Montrose, CO",,Private,327,327,20,56,167,1
611,San Luis Valley Health,"Alamosa, CO",,Private,82,141,21,49,20,17
612,Lutheran Medical Center,"Wheat Ridge, CO",,Private,282,335,49,253,289,23
613,Poudre Valley Hospital,"Fort Collins, CO",,Private,344,312,16,324,177,11
614,Denver Health Medical Center,"Denver, CO",,Government,205,410,62,127,36,11
615,Centura Health-st Mary Corwin Medical Center,"Pueblo, CO",,Church,365,111,3,137,50,3
616,Mercy Regional Medical Center,"Durango, CO",,Church,197,157,21,131,114,6
617,Presbyterian St Lukes Medical Center,"Denver, CO",,Government,390,318,34,273,93,4
618,Centura Health-st Anthony Hospital,"Lakewood, CO",,Church,227,490,56,183,483,54
619,"Parkview Medical Center, Inc","Pueblo, CO",,Private,195,305,29,31,246,25
620,University Colo Health Memorial Hospital Central,"Colorado Springs, CO",,Government,114,144,6,17,6,1
621,St Marys  Medical Center,"Grand Junction, CO",,Church,279,516,23,101,151,2
622,University Of Colorado Hospital Authority,"Aurora, CO",,Government,455,590,76,430,54,46
623,Foothills Hospital,"Boulder, CO",,Private,13,530,43,3,487,11
624,Saint Joseph Hospital,"Denver, CO",,Private,371,254,30,256,17,26
625,Mckee Medical Center,"Loveland, CO",,Private,231,169,62,127,60,37
626,Centura Health-penrose St Francis Health Services,"Colorado Springs, CO",,Private,444,351,19,260,41,4
627,Rose Medical Center,"Denver, CO",,Proprietary,334,50,73,102,7,0
628,Swedish Medical Center,"Englewood, CO",,Proprietary,376,447,14,130,13,4
629,Colorado Plains Medical Center,"Fort Morgan, CO",,Unknown,431,491,28,217,92,4
630,Uchealth Yampa Valley Medical Center,"Steamboat Springs, CO",,Private,56,613,37,40,105,14
631,Community Hospital,"Grand Junction, CO",,Private,376,168,9,44,134,2
632,Centura Health-porter Adventist Hospital,"Denver, CO",,Church,479,569,1,115,263,1
633,North Suburban Medical Center,"Thornton, CO",,Private,429,285,14,177,69,6
634,Delta County Memorial Hospital,"Delta, CO",,Government,232,522,32,146,498,23
635,Valley View Hospital Association,"Glenwood Springs, CO",,Private,471,332,39,181,304,33
636,Sterling Regional Medcenter,"Sterling, CO",,Private,466,665,3,248,209,0
637,Vail Health Hospital,"Vail, CO",,Unknown,170,76,52,62,72,33
638,"Medical Center Of Aurora, The","Aurora, CO",,Proprietary,282,230,6,221,125,0
639,Centura Health-avista Adventist Hospital,"Louisville, CO",,Church,452,195,48,111,178,24
640,St Anthony North Health Campus,"Westminster, CO",,Private,71,318,23,3,46,1
641,National Jewish Health,"Denver, CO",,Private,19,543,43,1,405,11
642,Sky Ridge Medical Center,"Lone Tree, CO",,Unknown,491,606,3,90,460,3
643,Centura Health-littleton Adventist Hospital,"Littleton, CO",,Church,500,425,53,382,377,42
644,Parker Adventist Hospital,"Parker, CO",,Private,59,459,28,21,206,1
645,Good Samaritan Medical Center,"Lafayette, CO",,Private,495,473,7,388,234,3
646,"Animas Surgical Hospital, Llc","Durango, CO",,Unknown,103,357,38,57,204,26
647,St Anthony Summit Medical Center,"Frisco, CO",,Church,234,467,45,10,127,29
648,Medical Center Of The Rockies,"Loveland, CO",,Private,146,203,38,83,18,15
649,Orthocolorado Hospital At St Anthony Med Campus,"Lakewood, CO",,Proprietary,190,78,48,112,69,23
650,Castle Rock Adventist Hospital,"Castle Rock, CO",,Private,284,157,2,164,86,1
651,Banner Fort Collins Medical Center,"Fort Collins, CO",,Unknown,346,64,38,120,62,20
652,Scl Health Community Hospital- Northglenn,"Northglenn, CO",,Proprietary,266,487,32,254,446,10
653,Longs Peak Hospital,"Longmont, CO",,Private,30,159,23,28,30,21
654,Uchealth Broomfield Hospital Llc,"Broomfield, CO",,Proprietary,471,95,68,340,7,62
655,Uchealth Grandview Hospital,"Colorado Springs, CO",,Private,346,494,58,128,460,33
656,Weisbrod Memorial County Hospital,"Eads, CO",,Government,157,238,76,154,152,56
657,Rio Grande Hospital,"Del Norte, CO",,Private,356,356,11,294,281,6
658,Colorado Canyons Hospital And Medical Center,"Fruita, CO",,Private,406,266,44,363,146,17
659,East Morgan County Hospital,"Brush, CO",,Government,487,395,52,344,192,33
660,Haxtun Hospital District,"Haxtun, CO",,Government,7,78,43,5,55,41
661,Melissa Memorial Hospital,"Holyoke, CO",,Government,138,108,35,90,41,24
662,Lincoln Community Hospital,"Hugo, CO",,Unknown,239,332,11,192,329,9
663,Rangely District Hospital,"Rangely, CO",,Government,314,454,6,79,339,5
664,San Luis Valley Health Conejos County Hospital,"La Jara, CO",,Private,146,456,66,96,451,60
665,Wray Community District Hospital,"Wray, CO",,Government,380,412,72,130,331,46
666,Sedgwick County Memorial Hospital,"Julesburg, CO",,Government,318,126,49,219,105,41
667,Southeast Colorado Hospital,"Springfield, CO",,Government,36,562,41,25,317,16
668,Estes Park Medical Center,"Estes Park, CO",,Government,477,680,35,203,87,28
669,Kit Carson County Memorial Hospital,"Burlington, CO",,Government,371,91,60,157,58,21
670,"Memorial Hospital, The","Craig, CO",,Government,492,354,24,182,21,15
671,Yuma District Hospital,"Yuma, CO",,Government,93,230,8,2,36,2
672,Spanish Peaks Regional Health Center,"Walsenburg, CO",,Government,317,327,19,128,13,7
673,Grand River Medical Center,"Rifle, CO",,Government,67,221,49,65,125,45
674,Middle Park Medical Center,"Kremmling, CO",,Government,39,620,31,4,59,1
675,St Vincent General Hospital District,"Leadville, CO",,Government,106,65,63,42,39,9
676,Gunnison Valley Hospital,"Gunnison, CO",,Government,449,158,9,345,115,0
677,Mt San Rafael Hospital,"Trinidad, CO",,Private,427,100,14,223,71,13
678,Heart Of The Rockies Regional Medical Center,"Salida, CO",,Government,254,576,31,21,199,14
679,Prowers Medical Center,"Lamar, CO",,Government,13,87,26,5,64,26
680,Aspen Valley Hospital,"Aspen, CO",,Government,51,212,70,1,108,64
681,Pioneers Medical Center,"Meeker, CO",,Government,449,589,14,426,527,8
682,Uchealth Pikes Peak Regional Hospital,"Woodland Park, CO",,Private,20,90,7,10,60,1
683,Southwest Memorial Hospital,"Cortez, CO",,Private,342,37,2,29,3,2
684,Pagosa Springs Medical Center,"Pagosa Springs, CO",,Government,269,626,7,206,505,3
685,Arkansas Valley Regional Medical Center,"La Junta, CO",,Private,97,501,55,26,396,37
686,Keefe Memorial Hospital,"Cheyenne Wells, CO",,Government,440,151,2,141,20,2
687,Centura Health-st Thomas More Hospital,"Canon City, CO",,Private,499,557,47,292,457,21
688,Childrens Hospital Colorado,"Aurora, CO",,Private,357,303,1,278,22,1
689,St Francis Hospital & Medical Center,"Hartford, CT",,Church,14,221,4,7,131,3
690,Day Kimball Hospital,"Putnam, CT",,Private,314,635,36,108,348,24
691,Sharon Hospital,"Sharon, CT",,Proprietary,226,360,57,121,108,43
692,Waterbury Hospital,"Waterbury, CT",,Proprietary,47,59,75,23,9,75
693,Stamford Hospital,"Stamford, CT",,Private,234,697,30,197,40,17
694,Lawrence & Memorial Hospital,"New London, CT",,Private,275,378,56,8,303,26
695,Johnson Memorial Hospital,"Stafford Springs, CT",,Private,175,641,69,168,514,16
696,Bridgeport Hospital,"Bridgeport, CT",,Private,179,466,9,65,101,2
697,Charlotte Hungerford Hospital,"Torrington, CT",,Private,184,270,73,163,48,38
698,Rockville General Hospital,"Rockville, CT",,Proprietary,213,264,69,157,175,4
699,Saint Mary's Hospital,"Waterbury, CT",,Unknown,389,421,12,224,95,0
700,Midstate Medical Center,"Meriden, CT",,Private,129,530,68,88,367,39
701,Greenwich Hospital Association -,"Greenwich, CT",,Private,4,631,2,1,98,0
702,"Milford Hospital, Inc","Milford, CT",,Private,137,366,34,119,87,10
703,Middlesex Hospital,"Middletown, CT",,Private,204,614,49,95,58,10
704,Windham Comm Mem Hosp & Hatch Hosp,"Willimantic, CT",,Private,194,563,60,166,221,50
705,Yale-new Haven Hospital,"New Haven, CT",,Private,466,298,50,221,232,10
706,William W Backus Hospital,"Norwich, CT",,Unknown,58,386,70,25,48,37
707,Hartford Hospital,"Hartford, CT",,Private,251,397,9,112,233,5
708,Manchester Memorial Hospital,"Manchester, CT",,Private,320,276,45,136,110,44
709,St Vincent's Medical Center,"Bridgeport, CT",,Church,317,209,51,51,72,4
710,Bristol Hospital,"Bristol, CT",,Private,148,223,5,124,211,1
711,Griffin Hospital,"Derby, CT",,Unknown,461,145,1,163,131,0
712,Danbury Hospital,"Danbury, CT",,Private,468,258,64,253,31,59
713,Norwalk Hospital Association,"Norwalk, CT",,Private,419,235,22,65,42,5
714,"Hospital Of Central Connecticut, The","New Britain, CT",,Unknown,418,685,28,33,664,5
715,John Dempsey Hospital,"Farmington, CT",,Government,264,122,68,189,38,38
716,"Connecticut Hospice Inc,the","Branford, CT",,Private,394,600,61,207,591,30
717,Masonicare Health Center,"Wallingford, CT",,Private,52,622,41,18,515,17
718,Hebrew Home And Hospital Inc,"West Hartford, CT",,Private,458,618,18,229,301,7
719,Connecticut Childrens Medical Center,"Hartford, CT",,Private,9,157,72,5,124,60
720,"Christiana Care Health Services, Inc.","Newark, DE",,Private,348,467,67,146,107,9
721,St Francis Hospital,"Wilmington, DE",,Private,446,183,21,60,17,4
722,"Bayhealth Hospital, Kent Campus","Dover, DE",,Private,486,217,5,445,209,5
723,Nanticoke Memorial Hospital,"Seaford, DE",,Private,275,623,27,119,524,25
724,Beebe Medical Center,"Lewes, DE",,Private,383,455,8,64,194,4
725,Bayhealth - Milford Memorial Hospital,"Milford, DE",,Private,92,314,70,79,33,31
726,Alfred I Dupont Hospital For Children,"Wilmington, DE",,Private,60,51,57,54,9,37
727,George Washington Univ Hospital,"Washington, DC",,Proprietary,10,280,42,10,116,41
728,Howard University Hospital,"Washington, DC",,Unknown,351,357,53,65,90,16
729,Medstar Georgetown University Hospital,"Washington, DC",,Private,5,89,57,4,0,53
730,Sibley Memorial Hospital,"Washington, DC",,Unknown,297,609,37,239,586,27
731,Providence Hospital,"Washington, DC",,Private,169,191,33,41,60,9
732,United Medical Center,"Washington, DC",,Proprietary,476,386,29,91,262,18
733,Medstar Washington Hospital Center,"Washington, DC",,Unknown,297,302,20,266,46,3
734,Children's Hospital Nmc,"Washington, DC",,Private,315,227,76,208,13,76
735,Uf Health Jacksonville,"Jacksonville, FL",,Private,426,390,33,8,371,29
736,Bethesda Hospital East,"Boynton Beach, FL",,Private,317,683,71,252,313,26
737,Orlando Health Orlando Regional Medical Center,"Orlando, FL",,Private,468,624,77,310,483,59
738,Florida Hospital,"Orlando, FL",,Private,149,49,51,88,3,31
739,Baptist Hospital Of Miami,"Miami, FL",,Private,367,592,20,171,155,18
740,Lee Memorial Hospital,"Fort Myers, FL",,Government,136,471,2,73,425,2
741,Florida Hospital New Smyrna,"New Smyrna Beach, FL",,Church,483,87,56,479,28,9
742,Halifax Health Medical Center,"Daytona Beach, FL",,Government,319,57,19,317,55,10
743,Naples Community Hospital,"Naples, FL",,Private,390,182,55,45,2,4
744,Holmes Regional Medical Center,"Melbourne, FL",,Private,266,388,70,10,212,9
745,Jackson Memorial Hospital,"Miami, FL",,Government,133,296,43,108,14,5
746,Citrus Memorial Hospital,"Inverness, FL",,Government,163,451,75,139,176,61
747,Sacred Heart Hospital,"Pensacola, FL",,Private,239,560,66,203,369,62
748,Bay Medical Center Sacred Heart Health System,"Panama City, FL",,Government,445,389,52,232,288,32
749,Parrish Medical Center,"Titusville, FL",,Government,246,522,62,223,431,16
750,North Shore Medical Center,"Miami, FL",,Proprietary,426,647,44,134,78,42
751,Health Central,"Ocoee, FL",,Government,500,384,4,463,203,3
752,Bayfront Health - St Petersburg,"Saint Petersburg, FL",,Private,249,196,29,195,125,24
753,Mount Sinai Medical Center,"Miami Beach, FL",,Proprietary,365,443,63,225,164,42
754,Manatee Memorial Hospital,"Bradenton, FL",,Proprietary,266,346,37,23,343,0
755,Memorial Regional Hospital,"Hollywood, FL",,Government,324,511,32,13,418,12
756,Broward Health Medical Center,"Fort Lauderdale, FL",,Government,133,321,47,22,265,26
757,St Vincent's Medical Center Riverside,"Jacksonville, FL",,Private,205,648,23,121,413,16
758,Mease Dunedin Hospital,"Dunedin, FL",,Private,455,94,46,417,38,19
759,Martin Medical Center,"Stuart, FL",,Private,392,56,72,261,34,31
760,Florida Hospital Deland,"Deland, FL",,Church,106,54,44,47,44,44
761,Florida Hospital Zephyrhills,"Zephyrhills, FL",,Church,152,452,55,101,71,47
762,Bayfront Health Punta Gorda,"Punta Gorda, FL",,Proprietary,465,578,48,119,494,34
763,Jay Hospital,"Jay, FL",,Private,104,109,49,86,44,30
764,Highlands Regional Medical Center,"Sebring, FL",,Proprietary,21,259,9,11,245,4
765,Larkin Community Hospital Palm Springs Campus,"Hialeah, FL",,Private,236,38,72,127,31,68
766,South Lake Hospital,"Clermont, FL",,Government,392,543,9,149,259,2
767,Winter Haven Hospital,"Winter Haven, FL",,Private,296,65,52,55,52,15
768,Hialeah Hospital,"Hialeah, FL",,Proprietary,414,41,6,324,36,0
769,Twin Cities Hospital,"Niceville, FL",,Proprietary,306,65,74,220,26,68
770,Florida Hospital North Pinellas,"Tarpon Springs, FL",,Unknown,95,607,73,72,100,28
771,Florida Hospital Waterman,"Tavares, FL",,Church,442,465,45,8,276,7
772,Florida Hospital Ocala,"Ocala, FL",,Government,327,551,32,80,301,23
773,Morton Plant North Bay Hospital,"New Port Richey, FL",,Private,305,487,55,30,244,10
774,St Anthonys Hospital,"Saint Petersburg, FL",,Church,91,644,47,71,299,31
775,Florida Hospital Memorial Medical Center,"Daytona Beach, FL",,Church,110,131,21,42,91,12
776,Florida Hospital Carrollwood,"Tampa, FL",,Church,333,663,59,56,348,8
777,Venice Regional Medical Center - Bayfront Health,"Venice, FL",,Proprietary,210,206,59,58,184,0
778,Bayfront Health Brooksville,"Brooksville, FL",,Church,94,102,23,57,26,10
779,Florida Hospital Fish Memorial,"Orange City, FL",,Church,255,365,43,182,326,27
780,Holy Cross Hospital,"Fort Lauderdale, FL",,Church,362,258,49,352,50,37
781,St Josephs Hospital,"Tampa, FL",,Church,194,162,72,62,41,19
782,Bayfront Health Port Charlotte,"Port Charlotte, FL",,Proprietary,446,572,63,433,193,3
783,Jfk Medical Center,"Atlantis, FL",,Proprietary,220,649,26,160,397,2
784,Healthmark Regional Medical Center,"Defuniak Springs, FL",,Proprietary,286,131,35,75,106,1
785,Leesburg Regional Medical Center,"Leesburg, FL",,Private,131,405,49,13,125,22
786,Broward Health North,"Pompano Beach, FL",,Government,21,376,63,6,339,49
787,Sarasota Memorial Hospital,"Sarasota, FL",,Government,293,660,71,5,135,53
788,Baptist Medical Center Jacksonville,"Jacksonville, FL",,Private,359,329,21,56,185,21
789,Flagler Hospital,"Saint Augustine, FL",,Private,402,540,1,30,108,1
790,Steward Rockledge Hospital,"Rockledge, FL",,Private,307,59,32,201,6,2
791,Baptist Hospital,"Pensacola, FL",,Private,381,448,49,266,420,6
792,Lake Wales Medical Center,"Lake Wales, FL",,Proprietary,73,661,4,34,56,1
793,Shands Lake Shore Regional Medical Center,"Lake City, FL",,Private,99,512,56,48,337,20
794,Indian River Medical Center,"Vero Beach, FL",,Government,153,118,2,58,58,0
795,Doctor's Memorial Hospital Inc,"Perry, FL",,Private,444,533,74,258,103,29
796,Lehigh Regional Medical Center,"Lehigh Acres, FL",,Private,266,201,58,183,186,32
797,Florida Hospital Heartland Medical Center,"Sebring, FL",,Church,72,190,30,19,50,6
798,Osceola Regional Medical Center,"Kissimmee, FL",,Proprietary,210,261,77,88,167,57
799,Uf Health Shands Hospital,"Gainesville, FL",,Private,338,349,68,111,51,59
800,Baptist Medical Center - Beaches,"Jacksonville Beach, FL",,Private,32,640,69,16,519,67
801,Florida Hospital Flagler,"Palm Coast, FL",,Church,259,272,19,73,95,2
802,Bartow Regional Medical Center,"Bartow, FL",,Proprietary,71,88,20,61,80,0
803,North Okaloosa Medical Center,"Crestview, FL",,Private,481,81,22,113,31,9
804,Santa Rosa Medical Center,"Milton, FL",,Proprietary,261,189,75,199,144,19
805,Homestead Hospital,"Homestead, FL",,Private,226,657,35,189,588,16
806,Palms Of Pasadena Hospital,"Saint Petersburg, FL",,Proprietary,326,634,46,293,552,16
807,Morton Plant Hospital,"Clearwater, FL",,Private,31,599,75,23,25,1
808,Tampa General Hospital,"Tampa, FL",,Private,345,284,25,246,5,17
809,Lakeside Medical Center,"Belle Glade, FL",,Government,180,476,14,31,82,5
810,Aventura Hospital And Medical Center,"Aventura, FL",,Private,438,531,53,118,523,23
811,South Florida Baptist Hospital,"Plant City, FL",,Private,103,182,10,27,166,0
812,Ed Fraser Memorial Hospital,"Macclenny, FL",,Government,248,534,39,144,35,22
813,Tallahassee Memorial Hospital,"Tallahassee, FL",,Private,147,672,41,71,30,33
814,Heart Of Florida Regional Medical Center,"Davenport, FL",,Proprietary,312,679,54,161,484,14
815,Baptist Medical Center - Nassau,"Fernandina Beach, FL",,Government,423,214,11,155,141,6
816,Jackson Hospital,"Marianna, FL",,Government,50,115,75,45,107,75
817,Lower Keys Medical Center,"Key West, FL",,Proprietary,177,284,18,25,270,4
818,Mayo Clinic,"Jacksonville, FL",,Private,271,398,57,241,297,6
819,South Miami Hospital,"South Miami, FL",,Private,59,69,48,14,53,48
820,Lake City Medical Center,"Lake City, FL",,Private,411,93,60,81,70,13
821,Lakeland Regional Medical Center,"Lakeland, FL",,Private,411,121,39,387,25,29
822,Central Florida Regional Hospital,"Sanford, FL",,Proprietary,258,584,19,166,92,15
823,Doctors Hospital Of Sarasota,"Sarasota, FL",,Proprietary,169,264,10,104,49,2
824,Plantation General Hospital,"Plantation, FL",,Proprietary,188,304,10,4,94,3
825,Boca Raton Regional Hospital,"Boca Raton, FL",,Private,380,40,14,96,17,5
826,Florida Hospital Tampa,"Tampa, FL",,Private,455,401,1,163,280,1
827,Desoto Memorial Hospital,"Arcadia, FL",,Private,500,668,1,442,164,0
828,Palm Beach Gardens Medical Center,"Palm Beach Gardens, FL",,Proprietary,290,148,23,187,104,1
829,Cape Canaveral Hospital,"Cocoa Beach, FL",,Private,172,700,38,108,628,2
830,Memorial Hospital Jacksonville,"Jacksonville, FL",,Proprietary,256,188,53,139,128,34
831,St Petersburg General Hospital,"Saint Petersburg, FL",,Proprietary,291,181,74,137,57,10
832,Larkin Community Hospital,"South Miami, FL",,Proprietary,419,589,22,21,439,16
833,Coral Gables Hospital,"Coral Gables, FL",,Proprietary,125,607,36,80,358,33
834,Palmetto General Hospital,"Hialeah, FL",,Proprietary,300,221,24,206,83,21
835,Northwest Medical Center,"Margate, FL",,Proprietary,175,649,29,73,572,8
836,Medical Center Of Trinity,"Trinity, FL",,Proprietary,361,524,7,351,386,0
837,Broward Health Imperial Point,"Fort Lauderdale, FL",,Government,468,58,13,99,34,0
838,North Florida Regional Medical Center,"Gainesville, FL",,Proprietary,353,316,68,17,122,51
839,Memorial Hospital Of Tampa,"Tampa, FL",,Proprietary,318,126,1,191,20,0
840,Kendall Regional Medical Center,"Miami, FL",,Proprietary,84,414,40,71,322,8
841,Florida Hospital Dade City,"Dade City, FL",,Proprietary,340,309,68,82,16,22
842,Ocala Regional Medical Center,"Ocala, FL",,Proprietary,147,392,16,116,71,4
843,Blake Medical Center,"Bradenton, FL",,Proprietary,192,668,42,127,591,17
844,Steward Sebastian River Medical Center,"Sebastian, FL",,Proprietary,207,529,15,74,128,15
845,Gulf Coast Medical Center Lee Mem Health System,"Fort Myers, FL",,Government,286,102,33,11,99,27
846,Fort Walton Beach Medical Center,"Fort Walton Beach, FL",,Proprietary,444,638,43,126,491,42
847,University Hospital And Medical Center,"Tamarac, FL",,Proprietary,424,115,8,23,94,7
848,Orange Park Medical Center,"Orange Park, FL",,Unknown,117,78,20,50,18,11
849,Westside Regional Medical Center,"Plantation, FL",,Proprietary,201,687,21,86,78,0
850,Memorial Hospital Pembroke,"Pembroke Pines, FL",,Government,222,368,7,55,214,0
851,West Florida Hospital,"Pensacola, FL",,Proprietary,184,548,46,86,339,39
852,Putnam Community Medical Center,"Palatka, FL",,Proprietary,38,443,56,12,79,9
853,Fawcett Memorial Hospital,"Port Charlotte, FL",,Proprietary,472,631,44,374,473,41
854,Northside Hospital,"Saint Petersburg, FL",,Proprietary,469,666,47,78,601,26
855,Gulf Coast Regional Medical Center,"Panama City, FL",,Proprietary,371,91,57,323,79,52
856,Brandon Regional Hospital,"Brandon, FL",,Proprietary,287,290,23,26,277,8
857,Cape Coral Hospital,"Cape Coral, FL",,Government,78,47,23,48,43,1
858,Lawnwood Regional Medical Center & Heart Institute,"Fort Pierce, FL",,Proprietary,227,653,36,46,120,20
859,Largo Medical Center,"Largo, FL",,Proprietary,449,423,7,89,276,2
860,Bayfront Health Seven Rivers,"Crystal River, FL",,Proprietary,235,37,11,181,21,11
861,Raulerson Hospital,"Okeechobee, FL",,Proprietary,299,232,35,132,16,2
862,Jupiter Medical Center,"Jupiter, FL",,Private,158,344,75,126,58,45
863,Capital Regional Medical Center,"Tallahassee, FL",,Proprietary,64,664,38,17,127,21
864,Tampa Community Hospital,"Tampa, FL",,Proprietary,485,68,23,210,11,9
865,Regional Medical Center Bayonet Point,"Hudson, FL",,Proprietary,474,39,50,368,17,43
866,Delray Medical Center,"Delray Beach, FL",,Proprietary,176,129,14,82,122,5
867,South Bay Hospital,"Sun City Center, FL",,Proprietary,95,364,77,5,65,55
868,St Lucie Medical Center,"Port Saint Lucie, FL",,Proprietary,458,110,12,145,82,12
869,Oak Hill Hospital,"Brooksville, FL",,Unknown,88,303,47,76,137,31
870,Mease Countryside Hospital,"Safety Harbor, FL",,Private,156,616,55,30,70,7
871,Gulf Breeze Hospital,"Gulf Breeze, FL",,Unknown,57,117,3,56,13,0
872,Englewood Community Hospital,"Englewood, FL",,Proprietary,98,624,32,81,300,26
873,West Boca Medical Center,"Boca Raton, FL",,Proprietary,134,624,43,24,101,20
874,Palms West Hospital,"Loxahatchee, FL",,Proprietary,210,591,20,152,298,19
875,Wellington Regional Medical Center Llc,"Wellington, FL",,Proprietary,322,670,14,263,409,4
876,Broward Health Coral Springs,"Coral Springs, FL",,Government,280,303,65,117,213,53
877,Douglas Gardens Hospital,"Miami, FL",,Private,61,124,19,36,17,4
878,Memorial Hospital West,"Pembroke Pines, FL",,Government,190,402,10,67,337,2
879,Westchester General Hospital,"Miami, FL",,Proprietary,137,581,71,73,255,69
880,Memorial Hospital Miramar,"Miramar, FL",,Government,410,271,68,211,159,48
881,Physicians Regional Medical Center - Pine Ridge,"Naples, FL",,Proprietary,296,117,46,196,10,45
882,Good Samaritan Medical Center,"West Palm Beach, FL",,Proprietary,421,431,57,16,131,34
883,St Mary's Medical Center,"West Palm Beach, FL",,Proprietary,330,306,72,227,282,58
884,Cleveland Clinic Hospital,"Weston, FL",,Proprietary,259,417,28,115,139,12
885,"Villages Regional Hospital, The","The Villages, FL",,Private,253,660,75,226,342,38
886,Steward Melbourne Hospital,"Melbourne, FL",,Proprietary,260,124,74,223,107,11
887,Sacred Heart Hospital On The Emerald Coast,"Miramar Beach, FL",,Unknown,330,201,40,57,8,19
888,Doctors Hospital,"Coral Gables, FL",,Unknown,160,540,74,108,170,23
889,Florida State Hospital Unit 31 Med,"Chattahoochee, FL",,Government,273,369,17,233,361,12
890,Lakewood Ranch Medical Center,"Bradenton, FL",,Proprietary,476,369,21,45,355,5
891,St Cloud Regional Medical Center,"Saint Cloud, FL",,Proprietary,110,630,25,11,562,23
892,St Vincent's Medical Center Southside,"Jacksonville, FL",,Private,54,265,61,26,85,45
893,Sacred Heart Hospital On The Gulf,"Port Saint Joe, FL",,Private,125,562,9,2,476,9
894,West Kendall Baptist Hospital,"Miami, FL",,Private,311,562,17,193,156,4
895,Viera Hospital,"Melbourne, FL",,Private,55,52,37,16,32,6
896,Palm Bay Hospital,"Palm Bay, FL",,Proprietary,26,325,44,25,11,18
897,Florida Hospital Wesley Chapel,"Wesley Chapel, FL",,Private,124,226,19,3,143,2
898,Poinciana Medical Center,"Kissimmee, FL",,Proprietary,16,46,39,2,26,9
899,St Vincents Medical Center - Clay County,"Middleburg, FL",,Private,40,595,77,20,36,60
900,Regional General Hospital Williston,"Williston, FL",,Proprietary,71,430,14,67,120,7
901,"Miami Medical Center, The","Miami, FL",,Proprietary,138,467,37,11,410,18
902,Oviedo Medical Center,"Oviedo, FL",,Proprietary,25,697,72,4,89,31
903,Florida Hospital Wauchula,"Wauchula, FL",,Private,134,502,72,55,464,58
904,Shands Live Oak Regional Medical Center,"Live Oak, FL",,Proprietary,291,642,69,17,600,63
905,Lake Butler Hospital,"Lake Butler, FL",,Proprietary,271,414,67,155,6,48
906,Calhoun-liberty Hospital,"Blountstown, FL",,Private,437,154,58,229,56,1
907,George E Weems Memorial Hospital,"Apalachicola, FL",,Government,338,307,48,218,83,32
908,Doctors Memorial Hospital,"Bonifay, FL",,Government,168,480,42,138,236,35
909,Northwest Florida Community Hospital,"Chipley, FL",,Private,496,149,28,321,15,17
910,Hendry Regional Medical Center,"Clewiston, FL",,Unknown,194,432,77,114,87,17
911,Shands Starke Regional Medical Center,"Starke, FL",,Proprietary,124,473,26,9,103,11
912,Madison County Memorial Hospital,"Madison, FL",,Government,432,356,17,289,268,4
913,Fishermen's Community Hospital,"Marathon, FL",,Private,186,612,43,46,326,9
914,Mariners Hospital,"Tavernier, FL",,Private,122,323,11,44,177,8
